Title,Status,Description,Expected Changes,Feature Request Response,General Notes,Estimate,Cost,Tags
Acreage Tracking ,New,Enhance the Editor to provide more accurate acreage tracking to reduce audit discrepancies,"• Enable  point-based acreage validation  within the Editor to improve alignment with enrollment standards.
• Develop an  official mapped acreage reference layer  to be the primary source of truth for acreage, reducing reliance on third-party plans.",,,,,ATFS - Stage (geoserver)
Print Map functionality (layout),New,Improve  layout options  for better formatting and presentation,Will need to discuss,,,,,ATFS - Stage (geoserver)
"Print Map functionality (map framing, selection box)",New,Enhance  map framing  by allowing users to  drag a selection box  to define the area of interest (AOI) instead of the current clunky method.,Will need to discuss,,,,,ATFS - Stage (geoserver)
Print Map functionality (remove from editor),New,• Move the Print Map feature to the  Viewer only  (remove from the Editor).,Will need to discuss,,,,,ATFS - Stage (geoserver)
Plot Location - Not saved to markup,New,should be able to export timber cruise plot tool for export. points are not exported out as lat / long.,,,,,,WoodPro - Demo
Rainfall background opacity,New,When viewing rainfall amounts in the legend is visible opacity of the background changes sufficiently to obfuscate data when viewed against the legend.,"Legend, when displayed should not change opacity of background. Potentially, including legend as a fixed region on the screen, and not a window or within the side bar itself.",,,,,WoodPro - Demo
Results panel - Display,New,Field aliases should be used when data is listed in the Results panel.,,,,,,WoodPro - Demo
symbology and labeling,New,"improve symbology and labeling so they are more easily visible.  The black, dark, small, etc. is so hard to see, especially if using the darker imagery.",,,,,,WoodPro - Demo
iOS and android app,New,App Store branded app which logs in and displays woodpro in default mobile browser ,,,,,,WoodPro - Demo
Print selected feature only,New,Ability to select single poly for printing when multiple polys are visible on map,,,,,,WoodPro - Demo
Increase line road width,New,"Road lines are difficult to see.  Ability for user to increase road width 1pt 2pt 3pt etc, or generally increase road width to 2pt to enhance visibility. ",,,,,,WoodPro - Demo
Turn off Basemaps entirely,New,Provide toggle / ability for user to turn off all underlying basemap layers,,,,,,WoodPro - Demo
Search bar could include all variables not just tract name?,Reviewed,,,"which search? the quick select navigation dropbox can include any field you want, but all fields would be tool many
the top quick navigation tool isn’t a search tool, all data is loaded client-side, use of autocomplete might feel like search",,,,WoodPro - Demo
Bids,Reviewed,Multi-row input form is not clear. Potential rearrangement to vertical arrangement  or otherwise label each field,,"bids and inventory grids vary by client, use of grid was a short-cut
for some clients, some fields are calculated, not used for data entry
I think the 3-row version is more complicated then the 2-row version, but doesn’t give much space for a comment field",,,,WoodPro - Demo
Jasper Reports,Reviewed,Column sort possible? ,,"I do not know, I don’t have jasper reports on local dev
answer may depend on the jasper output, csv - yes, pdf - no",,,,WoodPro - Demo
Map to include qr code link to avenza?,Reviewed,,QR code to provide Google / Apple maps x/y navigation link,"print page is a Pro page layout, can easily add images to title block
what would this qr code say or do?",,,,WoodPro - Demo
Add mill name label option for clarity,Reviewed,"Add toggle to view mill at much greater zoom level. 1:1,000,000 to 1:5,000,000?",,mills are already labeled,,,,WoodPro - Demo
Remove waypoint markers,Reviewed,No way to remove waypoint markers?,,"correct, no way to remove markers one at a time, close and reopen panel will clear them all",,,,WoodPro - Demo
Routing - Export Directions,Reviewed,"1. Save the finalized route as part of the project or export it in a printable format.
2. Use the Print tool in the Quick Access Toolbar to generate a map or detailed directions in PDF format.",,"the route tool doesn’t create travel directions, purpose was to calculate time and distance, the route line is a QC check
is this an issue or a feature request?",,,,WoodPro - Demo
Routing - Clear Button,Reviewed,"
• [ ]  Create ‘Clear Button’ to clear routing instead of clicking out of routing toolbox
close and reopen the panel",,,,,,WoodPro - Demo
Routing - Recalculate,Reviewed,"• [ ]  Add ‘Recalculate Button’
run the tool again",,,,,,WoodPro - Demo
Routing - Clear / Edit,Reviewed,"to clear - close the panel, there is no edit, but you can run the tool again to create a different route",,,,,,WoodPro - Demo
